"* 고강우 게임 플레이 목록 (PC, Online, Mobile Channel)",,,,,,,
** 플레이 기간 (단위 : 월)의 경우 Subtotal 산정 시 중복기간을 ,,,,,,,
별도 제거하지 않았음 (서로 다른 게임 플레이에 대한 목록화 이기 때문임),,,,,,,
,,,,,,,
,게임플랫폼,게임이름,플레이직업 (클래스),플레이 시기 (단위 : 연도),플레이기간 (단위 : 월),한줄리뷰,수상경력
PC,PC,NOX,"전사,소환술사,마법사",2000,3,true sight system' 이 적용된 신개념 RPG,
,"윈도우,맥",디아블로2,"아마존,소서리스,바바리안,팔라딘",2000,12,2000년대 최고의 게임,
,윈도우,크레이지아케이드 비엔비,"배찌,마리드,우니,다오 등등 (클래스 아닌 케릭터선택)",2001,12,아케이드 게임의 센세이션,
,윈도우,카트라이더,우니(클래스아닌 케릭터선택),2002,24,아케이드 레이싱의 끝판왕,
,"윈도우,맥",스타크래프트 브루드워,"저그,테란,프로토스",1999,24,전략 시뮬레이션의 센세이션,
,,미르의 전설 1 - 패왕전,"수도사, 전사 등등",1999,6,첫 온라인 동양 MMORPG,
,윈도 98/2000/xp 이상,미르의 전설 2 ,화술사,2001,24,우리나라 MMORPG의 기준,
,윈도우,슬러거,클래스 아닌 팀 선택 후 육성,2007,36,야구게임 계의 마구마구 와 쌍두마차,
,"Windows, Android, iOS",피파 온라인 3,클래스 아닌 팀 선택 후 육성,2012,36,온라인 축구게임의 매니아 육성,
,윈도우,블러드 앤 소울,암살자,2012,6,엔씨만이 만들 수 있는 MMORPG,클로즈 베타 선발
,"윈도우, XBO",패스오브엑자일,트릭스터,2019,1,새로운 형식의 핵 앤 슬래시,
,,,,Subtotal,184,,
Mobile,"Android, iOS",모바일 레전드 : Bang Bang,플레이시 케릭터 선택 후 육성,2017,24,모바일계의 LOL 을 넘보는 강자,
,"Android, iOS",브롤스타즈,플레이시 케릭터 선택 후 육성,2019,6,슈퍼셀 특유의 아기자기 하면서도 유치하지 않은 아케이드 슈팅게임,
,"Android, iOS",검은사막 모바일,"다크나이트, 무사, 금수랑",2018,10,PC 검은사막을 능가하는 모바일 MMORPG 신흥강자,
,"Android, iOS",클래시로얄,카드덱 구성 후 플레이,2017,12,슈퍼셀의 장점이 잘 묻어있는 신 개념의 전략게임,
,"Android, iOS",크리티카 : 천상의 기사단,"광전사, 뇌새나찰",2015,12,MMORPG와 핵앤슬래시가 잘 녹여져 있는 3D 모바일 게임,
,,,,Subtotal,64,,
